Number,ITEM,Name,Name,Name,Name,Name,Function,Function,Construction Year,Construction Year,Construction Year,Construction Year,Associated Figure,Associated Figure,Associated Figure,,,Location,Location,Location,Location,Location,
Monument ID,Name_Ministry of Antiquity_en,Ministry of Antiquity_ar,Ministry of Antiquity_variant,D. Abouseif_en,Napoleon's Map_ar,Napoleon's Map_fr,Facility Number,Facility Name,Ministry of Antiquity_AH,Ministry of Antiquity_AD,Abouseif,Fukami,Arabic,Variant,English,Latitude,Longtitude,Ministry of Antiquities,Nicholas Warner,Napoleon's Map_Region,Napoleon's Map_Area,Napoleon's Map_Monument ID,URL
473,Sab'a Banat,القباب السبع,,N/A,N/A,N/A,,mausoleum,N/A,N/A,c.1010,1010,الخليفة الحاكم بأمرالله,al-Khalīfa al-Ḥākim bi-Amri Allāh,al-Khalifa al-Hakim bi-Amri Allah,30.00009,31.247112,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument473
474,Khadra' al-Sharifa,مصلى خضراء الشريفة,,N/A,N/A,N/A,,mosque,N/A,N/A,11c.,1181,عبد الله الأيوبي الشامي,Abd Allāh al-Ayyūbī al-Shāmī,Abd Allah al-Ayyubi al-Shami,29.998783,31.251491,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument474
475,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument475
476,Ragab ash-Shirazi,قبة رجب الشيرازى,Ragab ash-Shīrāzī,N/A,N/A,N/A,,mausoleum,781,1379,1379,1379,رجب الشيرازى,Rajab al-Shīrāzī,Rajab al-Shirazi,30.032474,31.260434,8H,9,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument476
477,Abu'l Khayr al-Kulaybati,زاوية ابو الخير الكليباتى,Abuʼl-Khayr al-Kulaybātī,N/A,شيخ دويدار,Cheykh Doueydâr,a,mausoleum,411-27,1021-36,N/A,1021,ابو الخير الكليباتى,Abū al-Khayr al-Kulaybātī,Abu al-Khayr al-Kulaybati,30.053893,31.26268,3H,18,VII,E-6,359,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument477
477,Abu'l Khayr al-Kulaybati,زاوية ابو الخير الكليباتى,Abuʼl-Khayr al-Kulaybātī,N/A,شيخ دويدار,Cheykh Doueydâr,b,mosque,411-27,1021-36,N/A,1021,ابو الخير الكليباتى,Abū al-Khayr al-Kulaybātī,Abu al-Khayr al-Kulaybati,30.053893,31.26268,3H,18,VII,E-6,359,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument477
478,Zawiyat al-Sutuhi,زاوية السطوحى,,N/A,N/A,N/A,a,mausoleum,N/A,N/A,N/A,1300,السطوحى,al-Suṭūḥī,al-Sutuhi,30.051919,31.262712,N/A,18,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument478
478,Zawiyat al-Sutuhi,زاوية السطوحى,,N/A,N/A,N/A,b,mausoleum,N/A,N/A,N/A,1300,السطوحى,al-Suṭūḥī,al-Sutuhi,30.051919,31.262712,N/A,18,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument478
478,Zawiyat al-Sutuhi,زاوية السطوحى,,N/A,N/A,N/A,c,mosque,N/A,N/A,N/A,1300,السطوحى,al-Suṭūḥī,al-Sutuhi,30.051919,31.262712,N/A,18,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument478
479,Fatimid,القبة الفاطمية,Fāṭimid,N/A,N/A,N/A,,mausoleum,about 527,1133,1100-33,1133,الفاطمية,al-Fāṭimīya,al-Fatimiya,30.051715,31.26345,3H,18,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument479
480,"Sa'id al-Su'ada, U4",خانقاه سعيد السعداء,,N/A,جامع الخانقه,Gâma’ el-Khânqah ,a,mosque,N/A,N/A,N/A,1850,صلاح الدين يوسف الآييوبي,Ṣalāḥ al-Dīn Yūsuf al-Ayyūbī,Salah al-Din Yusuf al-Ayyubi,30.05122,31.263165,N/A,"18,19,12",VII,G-5,320,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument480
480,"Sa'id al-Su'ada, U4",خانقاه سعيد السعداء,,N/A,حمام الصوافه,Hammâm el-Souâfeh ,b,hammam,N/A,N/A,N/A,1850,صلاح الدين يوسف الآييوبي,Ṣalāḥ al-Dīn Yūsuf al-Ayyūbī,Salah al-Din Yusuf al-Ayyubi,30.051399,31.263353,N/A,"18,19,12",VII,G-5,320,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument480
481,al-Bulqini,واجهة مسجد البلقينى,,"Shaiyky 'Umar ibn Raslan ak-Bulqini, =Sidi 'Amr Serag al-Din al-Bulqini",جامع البلقيني,Gâma’ el-Boulqeyny ,a,mosque,N/A,N/A,N/A,1389,البلقينى,al-Bulqīnī,al-Bulqini,30.054637,31.261283,N/A,18,V,E-6,92,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument481
481,al-Bulqini,واجهة مسجد البلقينى,,N/A,سبيل البلقيني,Sibyl el-Boulqeyny,b,sabil,N/A,N/A,N/A,1389,البلقينى,al-Bulqīnī,al-Bulqini,30.054782,31.261012,N/A,18,V,E-6,93,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument481
481,al-Bulqini,واجهة مسجد البلقينى,,Darih Sidi 'Amr Serag al-Din al-Bulqini,جامع البلقيني,Gâma’ el-Boulqeyny ,c,mausoleum,N/A,N/A,N/A,1389,البلقينى,al-Bulqīnī,al-Bulqini,30.054782,31.261012,N/A,18,V,E-6,92,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument481
481,al-Bulqini,واجهة مسجد البلقينى,,Darih al-Sayyida Saki ,جامع البلقيني,Gâma’ el-Boulqeyny ,d,mausoleum,N/A,N/A,N/A,1389,البلقينى,al-Bulqīnī,al-Bulqini,30.054782,31.261012,N/A,18,V,E-6,92,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument481
482,"the Virgin, Harat Zuwayla",N/A,,N/A,كنيسة القبط,Kenyset el-Qobt ,,church,N/A,N/A,N/A,950,N/A,N/A,N/A,30.051997,31.257352,N/A,26,V,G-8,257,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument482
483,"the Virgin, Harat al-Rum",N/A,,N/A,N/A,N/A,,church,N/A,N/A,N/A,1250,N/A,N/A,N/A,30.043329,31.260833,N/A,13,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument483
484,"al-Uqli, or al-Fisqiya",واجهة وكالة العقبى,,N/A,خان الفسقيه,Khân el-Fasqyeh  ,,wikala,N/A,N/A,N/A,1496,العقبى,al-ʻUtbī,al-Utbi,31.260833,31.259499,N/A,20,V,K-6,28,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument484
485,Yahya ibn 'Ayub,مسجد سيدى يحيى بن عقب,,N/A,جامع سي او سيدي الحي أبو عقب,Gâma’ Sy ou Sydy el-Hay Abou A’qb No.485,a,minaret,N/A,N/A,N/A,1637,سيدى يحيى بن عقب,Sayyidī Yaḥyā bn ʻAqub,Sayyidi Yahya bn Aqub,30.045046,31.260529,N/A,"13, 20",VIII,L-5,224,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument485
485,Yahya ibn 'Ayub,مسجد سيدى يحيى بن عقب,,N/A,جامع سي او سيدي الحي أبو عقب,Gâma’ Sy ou Sydy el-Hay Abou A’qb No.485,b,mosque,N/A,N/A,N/A,1637,سيدى يحيى بن عقب,Sayyidī Yaḥyā bn ʻAqub,Sayyidi Yahya bn Aqub,30.04483,31.260451,N/A,"13, 20",VIII,L-5,224,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument485
486,al-Safti,منزل الصفتى,,N/A,N/A,N/A,,residence,N/A,N/A,N/A,1750,الصفتى,al-Ṣaftī,al-Safti,30.044879,31.260608,N/A,13,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument486
487,"Shari' al-Dardir, No.71 wikala and Sabil Kuttab",واجهة منازل بشارع الدردير,,N/A,N/A,N/A,a,wikala,N/A,N/A,N/A,1650,N/A,N/A,N/A,30.044503,31.261551,N/A,13,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument487
487,Shari' al-Dardir,واجهة منازل بشارع الدردير,,N/A,N/A,N/A,b,residence,N/A,N/A,N/A,1650,N/A,N/A,N/A,30.044614,31.261409,N/A,13,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument487
488,al-Magharba,منزل الماورجى,,N/A,N/A,N/A,,residence,N/A,N/A,N/A,1650,الماورجى,al-Māwarjī,al-Mawarji,30.044691,31.260422,N/A,13,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument488
489,"House of Ahmad 'Abd al-Qudus, Shari' al-Gharmi",منزل بشارع الغمرى,,N/A,N/A,N/A,a,sabil,N/A,N/A,N/A,1750,N/A,N/A,N/A,30.054798,31.25932,N/A,25,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument489
489,"House of Ahmad 'Abd al-Qudus, Shari' al-Gharmi",منزل بشارع الغمرى,,N/A,N/A,N/A,b,residence,N/A,N/A,N/A,1750,N/A,N/A,N/A,30.054798,31.25932,N/A,25,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument489
490,al-Margush,N/A,,N/A,N/A,N/A,a,hammam,N/A,N/A,N/A,1780,N/A,N/A,N/A,30.054154,31.26013,N/A,25,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument490
490,al-Margush,N/A,,N/A,N/A,N/A,b,residence,N/A,N/A,N/A,1780,N/A,N/A,N/A,30.054258,31.260271,N/A,25,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument490
491,Atfat al-Zababqi,سبيل بعطفة الزبابقى,,N/A,سبيل الدبانه ,Sibyl el-Debâneh ,a,sabil kuttab,N/A,N/A,N/A,1750,U/C,U/C,U/C,30.054042,31.260871,N/A,18,V,F-6,86,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument491
491,Atfat al-Zababqi,سبيل بعطفة الزبابقى,,N/A,سبيل الدبانه ,Sibyl el-Debâneh ,b,wikala,N/A,N/A,N/A,1750,U/C,U/C,U/C,30.05405,31.261004,N/A,18,V,F-6,86,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument491
492,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument492
493,Abd al Mu'min Shakrun,منزل عبد المنعم شكرون,,N/A,N/A,N/A,,residence,N/A,N/A,N/A,1650,U/C,U/C,U/C,30.044809,31.260785,N/A,13,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument493
494,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument494
495,Bashir Agha,منزل بشير اغا,,N/A,N/A,N/A,,residence,N/A,N/A,N/A,1750,U/C,U/C,U/C,30.051947,31.262656,N/A,18,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument495
496,Manawi,N/A,,Ahmad Katnkhuda Mustahfizan,وكالة الفرايين,Okâlt el-Farrâyyn,a,sabil,N/A,N/A,N/A,1747,N/A,N/A,N/A,N/A,N/A,N/A,22,I,P-7,104,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument496
496,Manawi,N/A,,Ahmad Katnkhuda Mustahfizan,وكالة الفرايين,Okâlt el-Farrâyyn,b,wikala,N/A,N/A,N/A,1747,N/A,N/A,N/A,30.03772,31.255832,N/A,22,I,P-7,104,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument496
497,Ali Efendi Labib,منزل على لبيب,ʻAlī Efendi Labīb,"Ali Efendi Labib, merchant",N/A,N/A,,residence,end 12th cent.,18th cent.,N/A,1750,عمر الملاطيلي / إبراهيم  الملاطيلي,Umar al-Malāṭīlī / Ibrāhīm al-Malāṭīlī  ,Umar al-Malatili / Ibrahim al-Malatili,30.032481,31.258283,8G,16,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument497
498,al-Balfiya,N/A,,N/A,وكالة الفرايين,Okâlt el-Farrâyyn,a,sabil,N/A,N/A,N/A,1750,N/A,N/A,N/A,30.037134,31.258256,N/A,15,I,P-5,34,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument498
498,al-Balfiya,N/A,,N/A,وكالة الفرايين,Okâlt el-Farrâyyn,b,rab',N/A,N/A,N/A,1750,N/A,N/A,N/A,30.037214,31.258326,N/A,15,I,P-5,34,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument498
499,"Napoleon map, Cistern 表示建て替え以前",واجهة حوش عطى,,N/A,المدابغية,"El-Madâbghyeh, cour où l’on prèpare les cuirs",a,wikala,1233,1817,N/A,1817,U/C,U/C,U/C,30.051939,31.264378,4H,"11, 18",VII,G-4-5,123,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument499
499,Utay/Muhsim Ramadan,واجهة حوش عطى,Ḥōsh ʻUṭay / Muḥsin Ramaḍān,N/A,حوش العطي,Hoch el-O’tay,b,wikala,1233,1817,N/A,1817,U/C,U/C,U/C,30.051939,31.264378,4H,"11, 18",VII,G-5,297,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument499
499,Utay/Muhsim Ramadan,واجهة حوش عطى,Ḥōsh ʻUṭay / Muḥsin Ramaḍān,N/A,وكالة الجديد,Okâlt el-Gedyd,c,residence,1233,1817,N/A,1817,سليمان اغا السلحدار,Sulaymān Aghā al-Silaḥdār,Sulayman Agha al-Silahdar,30.051883,31.263781,4H,"11, 18",VII,F-5,300,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument499
500,al-Kashif,منزل الكاشف,,N/A,N/A,N/A,,residence,N/A,N/A,N/A,1775,U/C,U/C,U/C,30.047103,31.255606,N/A,27,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument500
501,Mahmud Sudum,منزل محمود سودان,,N/A,N/A,N/A,,residence,N/A,N/A,N/A,1750,محمود سودان,Maḥmūd Sūdān,Mahmud Sudan,30.054416,31.260955,N/A,18,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument501
502,Sidi al-Muhammad al-Sha'rani,زاوية الشعرانى,,N/A,مدفن الشعراوي,Madfoun el-Cha’râouy ,,mosque,N/A,N/A,N/A,1550,الشعرانى,al-Shaʻrānī,al-Sharani,30.05404,31.258214,N/A,25,V,F-8,266,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument502
503,Muhammad 'Ali al-Kabir,مسجد محمد على الكبير,Muḥammad ʻAlī al-Kabīr,N/A,N/A,N/A,a,minaret,1265,1848,1828-48,1848,محمد على باشا الكبير,Muḥammad ʻAlī Bāshā al-Kabīr,Muhammad Ali Basha al-Kabir,30.028798,31.259516,9G,9,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument503
503,Muhammad 'Ali al-Kabir,مسجد محمد على الكبير,Muḥammad ʻAlī al-Kabīr,N/A,N/A,N/A,b,minaret,1265,1848,1828-48,1848,محمد على باشا الكبير,Muḥammad ʻAlī Bāshā al-Kabīr,Muhammad Ali Basha al-Kabir,30.029104,31.259826,9G,9,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument503
503,Muhammad 'Ali al-Kabir,مسجد محمد على الكبير,Muḥammad ʻAlī al-Kabīr,N/A,N/A,N/A,c,mosque,1265,1848,1828-48,1848,محمد على باشا الكبير,Muḥammad ʻAlī Bāshā al-Kabīr,Muhammad Ali Basha al-Kabir,30.028987,31.259557,9G,9,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument503
503,Muhammad 'Ali al-Kabir,مسجد محمد على الكبير,Muḥammad ʻAlī al-Kabīr,N/A,N/A,N/A,d,mausoleum,1265,1848,1828-48,1848,محمد على باشا الكبير,Muḥammad ʻAlī Bāshā al-Kabīr,Muhammad Ali Basha al-Kabir,30.028822,31.259656,9G,9,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument503
504,Banush Bey,منزل وقف بنوش,Banūsh Bey,N/A,N/A,N/A,a,sabil,end 12th cent.,18th cent.,N/A,1750,بنوش,Banūsh,Banush,30.053398,31.257464,3G,"25, 26",N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument504
504,Banush Bey,منزل وقف بنوش,Banūsh Bey,N/A,N/A,N/A,b,residence,end 12th cent.,18th cent.,N/A,1750,بنوش,Banūsh,Banush,30.053398,31.257464,3G,"25, 26",N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument504
505,al-Gawhara,قصر الجوهرة والعدل,al-Gawhara,N/A,الجباخانه,"El-Gebâkhâneh, magasin à poudre",,residence,1229,1814,N/A,1814,الجوهرة والعدل,al-Jawhar / al-ʻAdl,al-Jawhar / al-Adl,30.027435,31.260027,9G,"9, 3, 10",Citadelle,U-4,70,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument505
506,Aysha al-Sutuhiya,سبيل وكتاب عائشة السطوحية,,N/A,سبيل برديني,Sibyl Bourdeyny ,,sabil kuttab,N/A,N/A,N/A,1755,عائشة السطوحية,ʻA’isha al-Suṭūḥīya,Aisha al-Sutuhiya,30.045421,31.263704,N/A,13,VII,K-4,66,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument506
507,Kosa Sinan,سبيل كوسه سنان,Sinān,N/A,سبيل عامر جعفر,Sibyl A’ âmar Ga’far,,sabil,12th cent.,18th cent.,N/A,1750,كوسه سنان,Kūsah Sinān,Kusah Sinan,30.046602,31.261537,5H,13,VII,K-5?,182,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument507
508,Ibrahim Bey al-Monastirli,سبيل ابراهيم بك المناسترلى,Ibrāhīm Bey al-Monastirlī,N/A,سبيل عثمان بيه,Sibyl O’smân bey ,,sabil,1126,1714,N/A,1714,ابراهيم بك المناسترلى,Ibrāhīm Bak al-Munāstirlī,Ibrahim Bak al-Munastirli,30.031136,31.243874,8D,N/A,III,U-11,97,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument508
509,Katkhuda,حوض كتخدا,,N/A,N/A,N/A,,sabil,N/A,N/A,N/A,1850,كتخدا,Katkhudā,Katkhuda,30.047474,31.25075,4F,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument509
510,Shaykh Su'ud,قبة الشيخ سعود,Shaykh Suʻūd,N/A,الشيخ سعود,El-Cheykh So’oud,a,mausoleum,941,1534,N/A,1534,الشيخ سعود,al-Shaykh Saʻūd,al-Shaykh Saud,30.035647,31.257301,7G,15,I,Q-6,27,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument510
510,Shaykh Su'ud,قبة الشيخ سعود,Shaykh Suʻūd,N/A,الشيخ سعود,El-Cheykh So’oud,b,mosque,941,1534,N/A,1534,الشيخ سعود,al-Shaykh Saʻūd,al-Shaykh Saud,N/A,N/A,7G,15,I,Q-6,27,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument510
511,Shaykh Yunus,قبة الشيخ يونس ( بدر الجمالى ),Shaykh Yūnus,N/A,N/A,N/A,,mausoleum,about 487,1094,early12c.,1094,الشيخ يونس ( بدر الجمالى ),al-Shaykh Yūnus (Badr al-Jamālī),al-Shaykh Yunus (Badr al-Jamali),30.0567,31.267511,2J,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument511
512,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument512
513,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument513
514,Khusraw Pasha,منزل خسرو باشا,,N/A,N/A,N/A,,residence,N/A,N/A,N/A,1654,خسرو باشا,Khusraw Bāshā,Khusraw Basha,30.044052,31.261065,N/A,13,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument514
515,al-Lu'lu'a,بقايا مسجد اللؤلؤة,al-Luʼluʼa,N/A,N/A,N/A,,mosque,406,1016,1016,1016,اللؤلؤة,al-Luʼluʼa,al-Lulua,30.019817,31.268211,11J,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument515
516,Umm Kulthum,بقايا مشهد كلثم,Umm Kulthūm,N/A,N/A,N/A,a,mausoleum,516,1122,1122,1122,الخليفة الآمر بأحكام الله ,Caliph al-Āmir bi-Aḥkām Allāh,Caliph al-Amir bi-Ahkam Allah,30.009298,31.258847,13G,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument516
516,Umm Kulthum,بقايا مشهد كلثم,Umm Kulthūm,N/A,N/A,N/A,b,mosque,516,1122,1122,1122,الخليفة الآمر بأحكام الله ,Caliph al-Āmir bi-Aḥkām Allāh,Caliph al-Amir bi-Ahkam Allah,30.009298,31.258847,13G,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument516
517,Sudun/Maghawri,بقايا كهف السودان,Sūdān (Maghāwrī),N/A,N/A,N/A,,mausoleum,421,1030,N/A,1030,السودان,al-Sūdān,al-Sudan,30.02562,31.266021,10J,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument517
518,Qaytbay,ربع قايتباى,Qāytbāy,N/A,N/A,N/A,a,residence,N/A,N/A,N/A,1490,السلطان الاشرف قايتباى,al-Sulṭān al-Ashraf Qāytbāy,al-Sultan al-Ashraf Qaytbay,30.029224,31.247354,N/A,31,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument518
518,Qaytbay,ربع قايتباى,Qāytbāy,N/A,N/A,N/A,b,residence,N/A,N/A,N/A,1490,السلطان الاشرف قايتباى,al-Sulṭān al-Ashraf Qāytbāy,al-Sultan al-Ashraf Qaytbay,30.02919,31.247471,N/A,31,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument518
519,Qaytbay,مسجد قايتباى,Qāytbāy,N/A,N/A,N/A,a,mosque,886-96,1481-90,1481-91,1481,السلطان الاشرف قايتباى,al-Sulṭān al-Ashraf Qāytbāy,al-Sultan al-Ashraf Qaytbay,30.024103,31.227239,10A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument519
519,Qaytbay,مسجد قايتباى,Qāytbāy,N/A,N/A,N/A,b,minaret,886-96,1481-90,N/A,1481,السلطان الاشرف قايتباى,al-Sulṭān al-Ashraf Qāytbāy,al-Sultan al-Ashraf Qaytbay,30.024129,31.227393,10A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument519
520,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument520
521,Ahmad Bey Kohya,مسجد احمد بك كوهيه,Aḥmad Bey Kohya,N/A,زاوية كوحيه,Zâouyet Kouhyeh,a,minaret,710,1310,N/A,1310,احمد بك كوهيه,Aḥmad Bak Kūhīya,Ahmad Bak Kuhiya,30.029333,31.251758,8F,24,II,U-8,149,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument521
521,Ahmad Bey Kohya,مسجد احمد بك كوهيه,Aḥmad Bey Kohya,N/A,زاوية كوحيه,Zâouyet Kouhyeh,b,mosque,710,1310,1310,1310,احمد بك كوهيه,Aḥmad Bak Kūhīya,Ahmad Bak Kuhiya,30.029462,31.251677,8F,24,II,U-8,149,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument521
522,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument522
523,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument523
524,Abdin Bey/Sidi Ruwaysh,مسجد عابدى بك رويش,ʻAbdīn Bey (Sīdī Ruwaysh),N/A,N/A,N/A,a,minaret,1071,1660,N/A,1660,عابدى بك رويش,ʻĀbidī Bak Ruwaysh,Abidi Bak Ruwaysh,30.005034,31.226743,14A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument524
524,Abdin Bey/Sidi Ruwaysh,مسجد عابدى بك رويش,ʻAbdīn Bey (Sīdī Ruwaysh),N/A,N/A,N/A,b,mosque,1071,1660,N/A,1660,عابدى بك رويش,ʻĀbidī Bak Ruwaysh,Abidi Bak Ruwaysh,30.005137,31.226646,14A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument524
525,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument525
526,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument526
527,Shehata Ahmad,واجهة منزل شحاتة احمد,Sheḥāta Aḥmad,N/A,N/A,N/A,,residence,1201,1786,N/A,1786,شحاتة احمد,Shaḥāta Aḥmad,Shata Ahmad,30.007531,31.228122,13A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument527
528,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument528
529,as-Saghir,مسجد الصغير,aṣ-Ṣaghīr,N/A,N/A,N/A,a,minaret,about 830,1426-27,N/A,1426,N/A,N/A,N/A,30.008694,31.22957,13B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument529
529,as-Saghir,مسجد الصغير,aṣ-Ṣaghīr,N/A,N/A,N/A,b,mosque,about 830,1426-27,N/A,1426,N/A,N/A,N/A,30.008827,31.229574,13B,N/A,N/A,N/A,N/A,https://islamic-architecture.aa-ken.jp/omekas/s/database/document/monument529
